id,wellbe,enhance,import,depress
19,3.333333333,3,3,1
19,3.333333333,2,5,1
19,3.333333333,5,5,1
19,3.333333333,3,5,1
19,3.333333333,2,3,1
20,4.666666667,3,5,0
20,4.666666667,2,3,0
20,4.666666667,3,2,0
20,4.666666667,3,4,0
20,4.666666667,2,2,0
20,4.666666667,2,2,0
20,4.666666667,3,4,0
20,4.666666667,4,4,0
20,4.666666667,5,5,0
20,4.666666667,3,3,0
20,4.666666667,4,5,0
20,4.666666667,5,5,0
20,4.666666667,2,5,0
20,4.666666667,3,4,0
21,3.916666667,3,3,1
21,3.916666667,2,2,1
21,3.916666667,2,2,1
21,3.916666667,4,4,1
21,3.916666667,2,4,1
21,3.916666667,2,4,1
21,3.916666667,2,4,1
21,3.916666667,4,3,1
21,3.916666667,3,3,1
21,3.916666667,3,3,1
21,3.916666667,4,4,1
21,3.916666667,4,4,1
21,3.916666667,3,4,1
21,3.916666667,2,4,1
22,4.833333333,5,5,0
22,4.833333333,5,5,0
22,4.833333333,3,5,0
22,4.833333333,5,5,0
22,4.833333333,3,5,0
22,4.833333333,5,5,0
22,4.833333333,4,5,0
22,4.833333333,5,5,0
22,4.833333333,5,5,0
22,4.833333333,5,5,0
22,4.833333333,3,5,0
22,4.833333333,5,5,0
22,4.833333333,5,5,0
22,4.833333333,4,4,0
23,4.083333333,5,5,0
23,4.083333333,2,0,0
23,4.083333333,3,2,0
23,4.083333333,4,2,0
23,4.083333333,3,3,0
23,4.083333333,2,3,0
23,4.083333333,1,4,0
23,4.083333333,5,3,0
23,4.083333333,3,2,0
23,4.083333333,5,3,0
23,4.083333333,3,4,0
23,4.083333333,5,4,0
23,4.083333333,3,2,0
23,4.083333333,3,3,0
24,2.583333333,3,3,1
24,2.583333333,2,1,1
24,2.583333333,4,1,1
24,2.583333333,3,3,1
24,2.583333333,1,3,1
24,2.583333333,2,3,1
24,2.583333333,2,3,1
24,2.583333333,4,2,1
24,2.583333333,3,3,1
24,2.583333333,3,3,1
24,2.583333333,4,4,1
24,2.583333333,3,5,1
24,2.583333333,3,5,1
24,2.583333333,3,4,1
25,4,3,4,0
25,4,2,2,0
25,4,3,2,0
25,4,3,4,0
25,4,1,1,0
25,4,3,4,0
25,4,3,4,0
25,4,3,3,0
25,4,3,3,0
25,4,4,4,0
25,4,3,3,0
25,4,3,3,0
25,4,3,4,0
25,4,3,3,0
26,3.666666667,3,4,0
26,3.666666667,2,2,0
26,3.666666667,1,3,0
26,3.666666667,3,4,0
26,3.666666667,4,4,0
26,3.666666667,1,3,0
26,3.666666667,2,3,0
26,3.666666667,5,5,0
26,3.666666667,4,3,0
26,3.666666667,4,4,0
26,3.666666667,3,3,0
26,3.666666667,5,5,0
26,3.666666667,4,4,0
26,3.666666667,3,3,0
27,3.166666667,1,4,1
27,3.166666667,4,0,1
27,3.166666667,1,4,1
27,3.166666667,3,3,1
27,3.166666667,1,2,1
27,3.166666667,1,1,1
27,3.166666667,1,3,1
27,3.166666667,4,4,1
27,3.166666667,1,1,1
27,3.166666667,3,3,1
27,3.166666667,3,3,1
27,3.166666667,3,4,1
27,3.166666667,3,5,1
27,3.166666667,4,4,1
28,4.583333333,3,4,0
28,4.583333333,4,2,0
28,4.583333333,5,3,0
28,4.583333333,5,5,0
28,4.583333333,2,2,0
28,4.583333333,1,0,0
28,4.583333333,4,4,0
28,4.583333333,4,3,0
28,4.583333333,1,1,0
28,4.583333333,3,4,0
28,4.583333333,1,3,0
28,4.583333333,4,5,0
28,4.583333333,4,3,0
28,4.583333333,4,3,0
29,3.583333333,3,4,1
29,3.583333333,1,2,1
29,3.583333333,2,4,1
29,3.583333333,3,5,1
29,3.583333333,5,5,1
29,3.583333333,4,2,1
29,3.583333333,5,5,1
29,3.583333333,4,4,1
29,3.583333333,5,3,1
29,3.583333333,5,5,1
29,3.583333333,5,5,1
29,3.583333333,4,5,1
29,3.583333333,3,4,1
29,3.583333333,4,4,1
30,3.833333333,4,4,1
30,3.833333333,1,2,1
30,3.833333333,2,4,1
30,3.833333333,4,4,1
30,3.833333333,4,4,1
30,3.833333333,4,3,1
30,3.833333333,3,4,1
30,3.833333333,2,4,1
30,3.833333333,2,2,1
30,3.833333333,4,4,1
30,3.833333333,2,2,1
30,3.833333333,4,4,1
30,3.833333333,3,3,1
30,3.833333333,4,4,1
31,4.083333333,3,4,1
31,4.083333333,2,2,1
31,4.083333333,2,4,1
31,4.083333333,3,4,1
31,4.083333333,2,3,1
31,4.083333333,2,3,1
31,4.083333333,3,4,1
31,4.083333333,3,4,1
31,4.083333333,3,3,1
31,4.083333333,3,4,1
31,4.083333333,4,3,1
31,4.083333333,4,4,1
31,4.083333333,4,4,1
31,4.083333333,4,3,1
32,4.5,3,4,0
32,4.5,2,3,0
32,4.5,2,2,0
32,4.5,3,4,0
32,4.5,3,5,0
32,4.5,2,5,0
32,4.5,2,3,0
32,4.5,3,3,0
32,4.5,1,2,0
32,4.5,2,3,0
32,4.5,2,3,0
32,4.5,2,4,0
32,4.5,4,5,0
32,4.5,4,5,0
33,4.666666667,5,5,1
33,4.666666667,0,0,1
33,4.666666667,4,5,1
33,4.666666667,5,5,1
33,4.666666667,5,5,1
33,4.666666667,5,5,1
33,4.666666667,4,5,1
33,4.666666667,5,5,1
33,4.666666667,3,4,1
33,4.666666667,5,4,1
33,4.666666667,5,5,1
33,4.666666667,5,5,1
33,4.666666667,4,4,1
33,4.666666667,4,4,1
34,4,2,4,1
34,4,2,5,1
34,4,3,5,1
34,4,5,5,1
34,4,3,4,1
34,4,0,2,1
34,4,3,3,1
34,4,0,4,1
34,4,3,3,1
34,4,2,3,1
34,4,3,5,1
34,4,2,3,1
34,4,4,4,1
34,4,1,5,1
35,3.583333333,2,5,0
35,3.583333333,3,3,0
35,3.583333333,4,3,0
35,3.583333333,5,5,0
35,3.583333333,3,5,0
35,3.583333333,2,5,0
35,3.583333333,5,5,0
35,3.583333333,4,5,0
35,3.583333333,4,5,0
35,3.583333333,4,5,0
35,3.583333333,5,4,0
35,3.583333333,5,5,0
35,3.583333333,4,5,0
35,3.583333333,3,3,0
36,4.333333333,5,5,0
36,4.333333333,1,1,0
36,4.333333333,3,3,0
36,4.333333333,1,3,0
36,4.333333333,5,5,0
36,4.333333333,5,5,0
36,4.333333333,3,4,0
36,4.333333333,5,5,0
36,4.333333333,2,3,0
36,4.333333333,5,5,0
36,4.333333333,2,2,0
36,4.333333333,5,4,0
36,4.333333333,5,5,0
36,4.333333333,5,5,0
37,3.25,3,4,0
37,3.25,4,2,0
37,3.25,1,3,0
37,3.25,1,4,0
37,3.25,4,4,0
37,3.25,3,3,0
37,3.25,4,4,0
37,3.25,4,4,0
37,3.25,3,3,0
37,3.25,4,4,0
37,3.25,3,5,0
37,3.25,4,4,0
37,3.25,4,4,0
37,3.25,5,4,0
38,3.916666667,3,4,0
38,3.916666667,1,0,0
38,3.916666667,4,3,0
38,3.916666667,4,4,0
38,3.916666667,5,4,0
38,3.916666667,3,1,0
38,3.916666667,3,5,0
38,3.916666667,2,4,0
38,3.916666667,3,4,0
38,3.916666667,2,4,0
38,3.916666667,4,4,0
38,3.916666667,4,4,0
38,3.916666667,4,5,0
38,3.916666667,4,5,0
39,3.833333333,4,4,1
39,3.833333333,4,2,1
39,3.833333333,2,3,1
39,3.833333333,3,2,1
39,3.833333333,3,4,1
39,3.833333333,2,3,1
39,3.833333333,2,4,1
39,3.833333333,2,4,1
39,3.833333333,2,3,1
39,3.833333333,4,4,1
39,3.833333333,3,5,1
39,3.833333333,3,4,1
39,3.833333333,3,4,1
39,3.833333333,3,3,1
40,4.833333333,3,4,0
40,4.833333333,4,4,0
40,4.833333333,2,4,0
40,4.833333333,4,4,0
40,4.833333333,4,3,0
40,4.833333333,5,4,0
40,4.833333333,5,5,0
40,4.833333333,3,4,0
40,4.833333333,4,4,0
40,4.833333333,4,2,0
40,4.833333333,2,2,0
40,4.833333333,4,4,0
40,4.833333333,4,4,0
40,4.833333333,4,4,0
41,3.166666667,3,3,1
41,3.166666667,2,4,1
41,3.166666667,2,4,1
41,3.166666667,2,4,1
41,3.166666667,3,4,1
41,3.166666667,3,4,1
41,3.166666667,4,4,1
41,3.166666667,3,4,1
41,3.166666667,2,3,1
41,3.166666667,3,4,1
41,3.166666667,2,4,1
41,3.166666667,3,4,1
41,3.166666667,5,4,1
41,3.166666667,4,4,1
42,2.833333333,4,2,1
42,2.833333333,1,1,1
42,2.833333333,2,3,1
42,2.833333333,3,4,1
42,2.833333333,1,5,1
42,2.833333333,2,2,1
42,2.833333333,2,5,1
42,2.833333333,2,4,1
42,2.833333333,4,5,1
42,2.833333333,3,4,1
42,2.833333333,2,5,1
42,2.833333333,3,4,1
42,2.833333333,3,3,1
42,2.833333333,4,4,1
43,3.5,4,4,1
43,3.5,3,3,1
43,3.5,3,3,1
43,3.5,3,4,1
43,3.5,3,4,1
43,3.5,2,3,1
43,3.5,3,3,1
43,3.5,4,5,1
43,3.5,3,4,1
43,3.5,3,4,1
43,3.5,2,4,1
43,3.5,3,3,1
43,3.5,3,3,1
43,3.5,3,3,1
44,3.25,4,3,1
44,3.25,4,5,1
44,3.25,3,4,1
44,3.25,4,5,1
44,3.25,3,3,1
44,3.25,2,2,1
44,3.25,3,3,1
44,3.25,4,4,1
44,3.25,2,1,1
44,3.25,2,2,1
44,3.25,3,5,1
44,3.25,3,5,1
44,3.25,3,3,1
44,3.25,3,4,1
45,3.75,4,4,1
45,3.75,2,1,1
45,3.75,5,5,1
45,3.75,4,3,1
45,3.75,4,5,1
45,3.75,4,5,1
45,3.75,3,2,1
45,3.75,3,4,1
45,3.75,2,5,1
45,3.75,2,5,1
45,3.75,3,4,1
45,3.75,3,3,1
45,3.75,3,4,1
45,3.75,2,2,1
46,3.333333333,4,4,1
46,3.333333333,4,3,1
46,3.333333333,3,4,1
46,3.333333333,4,4,1
46,3.333333333,2,4,1
46,3.333333333,2,4,1
46,3.333333333,3,4,1
46,3.333333333,4,4,1
46,3.333333333,4,4,1
46,3.333333333,3,4,1
46,3.333333333,3,4,1
46,3.333333333,4,4,1
46,3.333333333,3,4,1
46,3.333333333,2,3,1
47,4.583333333,5,4,0
47,4.583333333,5,1,0
47,4.583333333,2,2,0
47,4.583333333,3,4,0
47,4.583333333,3,1,0
47,4.583333333,3,3,0
47,4.583333333,4,4,0
47,4.583333333,4,5,0
47,4.583333333,4,4,0
47,4.583333333,4,4,0
47,4.583333333,4,4,0
47,4.583333333,3,3,0
47,4.583333333,1,3,0
47,4.583333333,4,3,0
48,3.75,3,4,0
48,3.75,2,2,0
48,3.75,4,3,0
48,3.75,3,4,0
48,3.75,2,3,0
48,3.75,2,5,0
48,3.75,3,4,0
48,3.75,3,5,0
48,3.75,3,4,0
48,3.75,3,5,0
48,3.75,3,4,0
48,3.75,3,4,0
48,3.75,3,4,0
48,3.75,5,4,0
49,4.166666667,5,5,1
49,4.166666667,5,0,1
49,4.166666667,5,0,1
49,4.166666667,5,5,1
49,4.166666667,2,5,1
49,4.166666667,5,0,1
49,4.166666667,2,3,1
49,4.166666667,4,5,1
49,4.166666667,3,5,1
49,4.166666667,3,5,1
49,4.166666667,5,5,1
49,4.166666667,5,5,1
49,4.166666667,5,5,1
49,4.166666667,5,5,1
50,3.5,5,4,0
50,3.5,5,1,0
50,3.5,2,4,0
50,3.5,2,3,0
50,3.5,5,5,0
50,3.5,1,3,0
50,3.5,3,3,0
50,3.5,5,5,0
50,3.5,2,4,0
50,3.5,4,4,0
50,3.5,1,2,0
50,3.5,5,5,0
50,3.5,3,3,0
50,3.5,5,4,0
51,4.5,4,4,0
51,4.5,3,3,0
51,4.5,3,4,0
51,4.5,3,4,0
51,4.5,3,3,0
51,4.5,4,4,0
51,4.5,3,5,0
51,4.5,4,5,0
51,4.5,3,4,0
51,4.5,3,4,0
51,4.5,3,4,0
51,4.5,2,3,0
51,4.5,4,4,0
51,4.5,2,2,0
52,4.833333333,3,4,0
52,4.833333333,1,1,0
52,4.833333333,3,4,0
52,4.833333333,4,4,0
52,4.833333333,2,3,0
52,4.833333333,3,4,0
52,4.833333333,2,4,0
52,4.833333333,2,5,0
52,4.833333333,2,5,0
52,4.833333333,2,2,0
52,4.833333333,3,4,0
52,4.833333333,2,4,0
52,4.833333333,2,3,0
52,4.833333333,3,3,0
53,3.5,4,3,0
53,3.5,2,1,0
53,3.5,4,4,0
53,3.5,3,4,0
53,3.5,4,4,0
53,3.5,4,1,0
53,3.5,3,3,0
53,3.5,3,4,0
53,3.5,4,3,0
53,3.5,4,4,0
53,3.5,4,4,0
53,3.5,4,4,0
53,3.5,4,5,0
53,3.5,4,4,0
54,3.75,4,4,1
54,3.75,2,1,1
54,3.75,5,5,1
54,3.75,4,1,1
54,3.75,3,3,1
54,3.75,4,5,1
54,3.75,4,5,1
54,3.75,3,4,1
54,3.75,1,1,1
54,3.75,3,4,1
54,3.75,1,1,1
54,3.75,3,4,1
54,3.75,3,4,1
54,3.75,2,3,1
55,4.833333333,3,4,0
55,4.833333333,2,2,0
55,4.833333333,3,2,0
55,4.833333333,3,4,0
55,4.833333333,3,4,0
55,4.833333333,2,3,0
55,4.833333333,2,4,0
55,4.833333333,4,4,0
55,4.833333333,4,4,0
55,4.833333333,4,5,0
55,4.833333333,3,4,0
55,4.833333333,4,4,0
55,4.833333333,4,5,0
55,4.833333333,3,5,0
56,4.916666667,5,5,0
56,4.916666667,1,2,0
56,4.916666667,5,5,0
56,4.916666667,3,4,0
56,4.916666667,3,3,0
56,4.916666667,2,3,0
56,4.916666667,2,4,0
56,4.916666667,5,5,0
56,4.916666667,5,5,0
56,4.916666667,5,5,0
56,4.916666667,3,5,0
56,4.916666667,5,5,0
56,4.916666667,5,5,0
56,4.916666667,5,5,0
57,4.666666667,4,5,1
57,4.666666667,1,2,1
57,4.666666667,1,1,1
57,4.666666667,4,4,1
57,4.666666667,4,5,1
57,4.666666667,4,3,1
57,4.666666667,4,5,1
57,4.666666667,1,2,1
57,4.666666667,2,2,1
57,4.666666667,2,4,1
57,4.666666667,2,4,1
57,4.666666667,3,1,1
57,4.666666667,2,3,1
57,4.666666667,3,1,1
58,4.166666667,4,4,1
58,4.166666667,4,2,1
58,4.166666667,4,3,1
58,4.166666667,3,4,1
58,4.166666667,1,4,1
58,4.166666667,0,1,1
58,4.166666667,1,4,1
58,4.166666667,3,4,1
58,4.166666667,2,2,1
58,4.166666667,2,5,1
58,4.166666667,2,4,1
58,4.166666667,2,4,1
58,4.166666667,2,5,1
58,4.166666667,2,3,1
59,4,4,4,0
59,4,3,2,0
59,4,2,3,0
59,4,2,4,0
59,4,2,5,0
59,4,2,2,0
59,4,2,4,0
59,4,4,4,0
59,4,3,4,0
59,4,3,4,0
59,4,3,4,0
59,4,3,5,0
59,4,3,4,0
59,4,3,4,0
60,4.083333333,3,2,0
60,4.083333333,2,2,0
60,4.083333333,3,4,0
60,4.083333333,3,4,0
60,4.083333333,3,4,0
60,4.083333333,3,4,0
60,4.083333333,3,4,0
60,4.083333333,3,4,0
60,4.083333333,2,2,0
60,4.083333333,3,4,0
60,4.083333333,2,2,0
60,4.083333333,3,4,0
60,4.083333333,3,4,0
60,4.083333333,3,3,0
