,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
142,5,5,4,5,5,5,5,5,5,5,4,5
143,5,5,2,4,5,5,2,3,3,2,3,5
144,1,4,2,3,4,3,2,2,2,2,1,4
145,4,3,5,5,3,4,5,3,3,5,5,4
146,3,4,4,5,3,3,3,3,2,4,5,3
147,5,4,3,4,5,5,4,4,3,3,1,3
148,5,5,3,4,5,5,2,3,5,4,3,4
149,3,4,3,5,4,3,3,3,1,4,5,5
150,3,4,2,4,5,3,3,4,3,2,3,4
151,4,4,2,5,5,4,5,4,2,2,3,3
152,3,5,2,4,5,5,4,4,2,3,2,4
153,4,5,4,4,5,4,2,5,3,2,3,5
154,4,3,5,5,5,3,4,3,3,5,5,3
155,3,5,4,5,4,5,3,3,4,3,5,1
156,4,4,3,5,5,4,5,2,4,5,4,5
157,5,4,4,4,4,3,3,4,3,3,3,3
158,3,2,4,5,4,2,3,4,2,3,5,3
159,5,5,5,5,5,5,4,4,5,4,3,2
160,5,5,4,5,5,5,5,4,5,5,4,4
161,4,2,3,5,5,5,4,2,4,2,2,3
162,5,5,3,5,5,5,4,4,2,3,4,4
163,2,3,2,5,4,3,5,3,3,4,5,4
164,3,3,3,5,5,3,2,2,3,4,2,2
165,5,4,4,3,4,4,3,4,3,1,5,3
166,4,4,3,4,5,4,2,3,4,2,3,4
167,3,3,2,4,4,4,3,3,2,2,3,5
168,5,4,3,5,4,4,4,4,3,3,5,3
169,3,4,4,4,5,5,4,3,2,2,5,5
170,5,5,3,5,4,4,5,2,4,3,3,4
171,2,5,5,5,3,3,2,2,2,3,3,2
172,4,2,1,4,4,3,1,2,2,2,2,1
173,3,2,1,4,2,2,3,1,2,1,3,3
174,5,5,2,3,5,3,1,3,3,2,1,3
175,3,3,2,5,3,4,2,3,2,2,4,3
176,4,5,2,5,4,3,4,1,4,3,2,3
177,5,3,3,4,5,3,2,5,2,2,3,5
178,5,5,5,5,5,5,5,3,5,4,5,3
179,2,3,3,5,4,3,3,3,5,3,2,3
180,5,3,5,5,5,3,4,3,4,4,5,4
181,2,3,3,4,4,4,2,3,3,3,3,4
182,3,3,3,5,3,2,1,1,1,3,3,3
183,4,4,3,4,4,4,3,3,2,2,2,5
184,4,4,5,5,5,4,4,2,3,4,5,3
185,5,3,3,5,5,5,5,5,3,3,3,4
186,4,3,3,5,5,4,3,2,1,3,3,4
187,5,5,3,5,5,5,4,4,5,5,4,3
188,5,5,3,5,5,5,3,3,4,3,3,5
189,4,4,5,5,5,3,4,3,3,4,3,5
190,3,3,2,4,1,3,3,1,1,4,1,2
191,4,4,2,2,4,5,2,3,3,1,3,5
192,3,5,3,4,3,3,3,1,3,3,2,3
193,3,5,5,5,5,5,4,4,3,5,5,5
194,3,1,3,5,4,3,3,2,2,2,3,3
195,5,5,4,5,4,4,3,4,3,4,4,4
196,5,5,5,5,5,4,4,3,4,3,2,3
197,4,3,5,5,5,3,5,5,4,5,4,4
198,2,3,4,3,3,3,2,1,2,2,2,2
199,1,3,3,5,3,3,3,1,1,4,2,2
200,4,4,3,5,4,3,4,1,2,5,5,5
201,3,3,5,5,5,3,5,4,2,3,4,2
202,4,5,4,5,5,5,4,4,3,3,3,3
203,5,5,5,5,5,5,5,3,3,4,4,4
204,2,4,4,4,5,4,2,4,4,3,3,2
205,4,2,2,4,4,3,2,3,1,2,2,3
206,5,2,3,3,2,2,3,1,1,3,2,2
207,4,4,3,4,5,3,2,3,2,2,4,3
208,3,3,5,5,3,2,4,2,3,4,4,3
209,5,5,5,5,4,4,4,4,3,3,4,5
210,3,4,3,5,5,4,5,3,2,3,4,4
211,4,5,4,5,5,5,5,4,5,5,5,2
212,5,4,3,5,4,4,5,2,3,3,4,4
213,4,2,3,4,5,3,3,3,3,2,3,3
214,3,5,4,5,5,5,3,4,4,2,4,5
215,5,4,2,4,5,3,1,3,4,3,2,3
216,3,3,5,5,5,3,5,3,2,5,3,5
217,3,5,3,5,4,2,4,2,3,5,4,5
218,4,5,4,5,5,5,3,5,4,3,3,5
219,2,4,4,5,5,4,3,3,3,3,3,4
220,5,4,4,5,5,5,4,3,4,5,5,4
221,3,3,5,5,4,4,5,3,3,5,4,1
222,2,2,2,5,5,3,5,3,2,3,5,4
223,5,5,2,3,5,4,2,2,3,1,2,3
224,3,3,4,3,4,3,3,2,3,3,1,4
225,3,4,2,5,5,4,3,3,4,3,4,2
226,4,4,5,5,5,3,2,4,3,3,5,4
227,4,4,5,4,4,4,4,4,4,2,3,4
228,4,5,3,5,5,3,4,3,4,2,4,2
229,4,4,4,5,3,4,4,2,3,3,2,3
230,5,5,5,5,5,5,5,5,4,4,5,4
231,2,4,1,3,3,2,1,1,3,1,2,4
232,5,4,4,5,5,5,5,3,4,3,4,3
233,3,2,3,5,4,2,4,2,2,3,4,3
234,4,4,3,5,5,5,4,4,2,4,4,2
235,5,5,3,5,3,4,2,2,4,4,4,4
236,3,3,5,5,5,4,4,3,3,4,5,5
237,3,5,5,5,5,5,5,3,4,5,5,5
238,3,5,5,5,5,1,2,3,3,5,3,2
239,3,3,4,4,5,3,3,3,1,2,3,3
240,5,4,5,5,5,5,4,5,3,4,4,5
241,2,2,1,2,4,3,1,3,2,1,2,2
242,4,4,5,5,5,3,4,3,3,4,4,3
243,5,4,3,5,5,4,3,2,4,3,4,4
244,5,5,5,5,5,5,4,3,3,4,4,3
245,3,4,4,5,3,2,4,2,3,4,5,4
246,5,4,4,4,4,3,3,3,4,2,3,5
247,3,4,5,5,4,3,2,4,4,3,4,4
248,4,3,3,5,3,3,4,1,3,3,4,5
249,4,4,3,4,5,3,4,3,4,2,3,4
250,4,3,5,4,5,5,3,1,2,3,3,3
