"","stress_def"
"40","Depending on the severity of stress, it could be something that motivates you or debilitates you. Usually occurs as a result of a deadline or task that is not easily completed or you don’t have complete control over. It is usually accompanied by a sense of anxiety and high physiological arousal. It can alter someone’s mood as well (usually for the worse)."
"41","Stress is my body’s response to either being pulled in too many directions or being exposed to high stake demands. Stress I don’t think is bad in small quantities, but is bad when it becomes chronic or when I don’t have a productive way to harness it."
"42","something that causes anxiety"
"43","Whenever I feel a sort of anxiety/worry about the near future in my chest. Usually before exams."
"44","The pressure to complete a task (physically or emotionally) in a demanding situation"
"45","Physical or mental challenge that can be overcome with the correct amount of skills, experience, or time... Having inadequate skills, experience, or time to overcome the challenge is when stress is most physically or mentally harmful."
"46","Perceived metal distress from situations that are adverse.  Can be accompanied with somatic symptoms like tightening in chest, quick breathing, increased heart rate, and like ones head is being compressed."
"47","Having too much going on at once and feeling like there's too much to do"
"48","Stress can be defined by perceived pressures stemming from external factors.  This is often accompanied by the feeling of not being able to adequately handle these pressures."
"49","Stress is the overwhelming anxiety that creeps into every task. It makes your muscles tense, your heart beat rapidly, your armpits sweat excessively and your jaw clench tightly. It’s the feeling of your whole body tightening up and the feeling of being pushed down by a heavy weight from above."
"50","The feeling that I have too much to do in too little time and can not handle it."
"51","Stress is related to mental health, and occurs when work-life balance becomes skewed, and is capable of causing physical changes in your body."
"52","When the need to meet demands, deadlines or workload exceeds your carrying capacity to the extent of affecting you physiologically, psychologically and socially."
"53","Over-arousal.  A set of somatic sensations that accompany situations with high stakes, uncertain outcomes, limited resources, etc:  fast heart rate, racing mind, sweat, trouble concentrating, indigestion."
"54","Here and there"
"55","A feeling that can sometimes feel uncontrollable"
"56","Overburdening of and by life's events"
"57","Unmanageable pressure that has negative effects on you physically and mentally"
"58","A physiological, mental, and emotion experience that we feel under increased pressure, strain or discomfort."
"59","Not being able to mentally find a solution or see an end to a large amount of work"
"60","Anxious feelings due to situations around an individual"
"61","Internal anxiety from external pressure (real or perceived)"
"62","Situations that take up additional use of my time or energy (above what is required for day to day living) and wear me out or drain me."
"63","When you feel like you can’t cope with situations ,that they are beyond solving by yourself . When they keep building  impossible to control."
"64","The mental or physical response when one feels they are not equipped with the ability to handle or cope with a real or imagined scenario."
"65","Feeling overwhelmed with things you can and can’t control and the ability to overcome them"
"66","Feeling overwhelmed, anxiety"
"67","Unmanageable without my medication that I need to take 3 times a day"
"68","Stress is like when you drink too much coffee and you get the shakes only instead of a strictly body sensation  stress is like an emotional shaking from too much metaphorical coffee 

While coffee in itself is a good thing keeps you up keeps you going too much can make you tweak out and feel not so pretty."
"69","Stress is an increase in psychophysiological arousal that may precede subjective feelings of anxiety, worry or pressure. Stress can be both positive and negative."
"70","Active feeling of worry."
"71","Anxiety, leading to an inability to cope well with a situation."
"72","From a subtle & sustained feeling of dread to a mental firestorm of anxiety."
"73","Having too many things I need to do in a limited amount of time"
"74","Stress is usually something that requires immediate action or attention; but other times it's a nagging worry that hangs over your day and distracts you from living in the moment."
"75","The feeling of pressure within my chest and anxiety"
"76","A sensation that ranges from discomfort to severe anxiety as a result an inability to deal with your environmental factors."
"77","feeling overwhelmed and nervous in a way that makes it hard"
"78","The state one is in when unable to manage life problems"
